Rank,Word,POS,Count
1,olema,V,113420
2,ja,J,80676
3,see,P,46898
4,mina,P,26904
5,et,J,26878
6,ei,V,25223
7,kui,J,23101
8,kui,D,23100
9,mis,P,23066
10,ka,D,20710
11,saama,V,19615
12,tema,P,18096
13,ning,J,16196
14,või,J,12649
15,oma,P,11827
16,sina,P,11657
17,aga,J,10703
18,aasta,S,10280
19,tegema,V,9996
20,kes,P,8772
21,pidama,V,8697
22,kõik,P,8677
23,ise,P,8254
24,nii,D,8240
25,üks,N,8240
26,üks,P,8240
27,võima,V,8098
28,tulema,V,7998
29,siis,D,6665
30,teine,P,6391
31,teine,O,6391
32,inimene,S,6145
33,aeg,S,6037
34,siis,J,5821
35,andma,V,5612
36,uus,A,5583
37,väga,D,5529
38,minema,V,5070
39,võtma,V,5034
40,kas,D,4846
41,kasutama,V,4777
42,välja,D,4701
43,laps,S,4698
44,hea,A,4545
45,juba,D,4471
46,kuid,J,4469
47,veel,D,4337
48,kus,D,4229
49,jääma,V,4147
50,selline,P,4139
51,suur,A,4002
52,nagu,D,3947
53,nagu,J,3947
54,teadma,V,3814
55,iga,P,3775
56,palju,D,3559
57,asi,S,3551
58,leidma,V,3537
59,hakkama,V,3535
60,mitte,D,3515
61,töö,S,3505
62,päev,S,3501
63,panema,V,3471
64,nägema,V,3428
65,kord,S,3424
66,esimene,O,3376
67,miski,P,3367
68,ära,D,3344
69,erinev,A,3300
70,lugema,V,3288
71,mõni,P,3268
72,kuidas,D,3247
73,ütlema,V,3205
74,eest,K,3151
75,sest,J,3078
76,kaks,N,3017
77,kohta,K,2939
78,mingi,P,2877
79,sama,P,2869
80,rohkem,D,2830
81,toimuma,V,2827
82,tahtma,V,2809
83,vaatama,V,2807
84,võimalus,S,2798
85,kokku,D,2789
86,osa,S,2782
87,koht,S,2750
88,võimalik,A,2691
89,lisa,S,2612
90,kuna,J,2603
91,käima,V,2602
92,kõige,D,2598
93,ikka,D,2565
94,muu,P,2527
95,ainult,D,2504
96,elu,S,2498
97,pakkuma,V,2470
98,nüüd,D,2433
99,küll,D,2411
100,riik,S,2406
101,auto,S,2395
102,siin,D,2374
103,olnud,A,2335
104,pärast,K,2321
105,juht,S,2290
106,rääkima,V,2273
107,jaoks,K,2253
108,raamat,S,2244
109,enam,D,2198
110,peale,K,2191
111,aitama,V,2163
112,näide,S,2135
113,keegi,P,2132
114,viimane,A,2132
115,seal,D,2122
116,kuni,K,2114
117,tooma,V,2088
118,hind,S,2068
119,mitu,P,2058
120,kirjutama,V,2051
121,vaid,D,2042
122,teema,S,2021
123,eesmärk,S,2019
124,maailm,S,2012
125,kogu,A,2006
126,lugu,S,2006
127,samuti,D,2003
128,üle,K,2000
129,mõtlema,V,1986
130,ettevõte,S,1977
131,just,D,1977
132,just,I,1977
133,poolt,K,1970
134,tee,S,1962
135,edasi,D,1956
136,lihtsalt,D,1939
137,soovima,V,1935
138,tundma,V,1915
139,mees,S,1898
140,jõudma,V,1897
141,küsimus,S,1895
142,suurem,C,1862
143,tegemine,S,1830
144,keel,S,1830
145,üle,D,1826
146,toode,S,1817
